No.,Fecha de ingreso,No. proceso,Acción / Infracción
1,06/03/2024,08332202400176,NULIDAD DE SENTENCIA
2,29/02/2024,13284202406765,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6"
3,29/02/2024,13284202406764,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6"
4,29/02/2024,13284202406763,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6"
5,21/12/2023,17811202302644,PAGO POR CONSIGNACIÓN
6,30/11/2023,09802202301613,SUBJETIVO
7,08/11/2023,09332202318810,COBRO DE DINERO
8,01/09/2023,09286202320721G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
9,31/08/2023,09U03202300283,202 RECEPTACIÓN
10,17/08/2023,17811202301639,SUBJETIVO
1,06/03/2024,08332202400176,NULIDAD DE SENTENCIA
2,29/02/2024,13284202406765,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6"
3,29/02/2024,13284202406764,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6"
4,29/02/2024,13284202406763,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6"
5,21/12/2023,17811202302644,PAGO POR CONSIGNACIÓN
6,30/11/2023,09802202301613,SUBJETIVO
7,08/11/2023,09332202318810,COBRO DE DINERO
8,01/09/2023,09286202320721G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
9,31/08/2023,09U03202300283,202 RECEPTACIÓN
10,17/08/2023,17811202301639,SUBJETIVO
11,02/08/2023,09286202317334G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
12,05/07/2023,17811202301392,SUBJETIVO
13,02/06/2023,13282202300855G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
14,02/05/2023,23303202300348G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
15,09/03/2023,09802202300293,SUBJETIVO
16,09/02/2023,09286202302098G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
17,03/02/2023,23303202300098G,APLICACIÓN DEL PRINCIPIO DE OPORTUNIDAD
18,10/01/2023,13802202300007,SUBJETIVO
19,09/01/2023,13337202300012,CONCURSO DE ACREEDORES
20,14/12/2022,13284202221340,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6"
21,09/12/2022,13337202202139,CONCURSO DE ACREEDORES
22,09/12/2022,13337202202138,CONCURSO DE ACREEDORES
23,08/12/2022,13337202202137,CONCURSO DE ACREEDORES
24,08/12/2022,13337202202136,CONCURSO DE ACREEDORES
25,08/12/2022,13337202202135,CONCURSO DE ACREEDORES
26,08/12/2022,13337202202134,CONCURSO DE ACREEDORES
27,23/11/2022,13284202219881,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 6"
28,07/10/2022,18803202200457,CONTROVERSIAS EN MATERIA DE CONTRATACIÓN PÚBLICA
29,15/09/2022,13802202200437,SUBJETIVO
30,03/08/2022,23281202203746,380 DAÑOS MATERIALES
31,02/08/2022,09802202200924,SUBJETIVO
32,29/06/2022,23281202203414G,APLICACIÓN DEL PRINCIPIO DE OPORTUNIDAD
33,28/06/2022,09286202203293G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
34,31/05/2022,09286202202722G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
35,26/05/2022,09201202201814,ACCIÓN DE PROTECCIÓN
36,26/04/2022,07283202202393G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
37,22/04/2022,13802202200195,CONTROVERSIAS EN MATERIA DE CONTRATACIÓN PÚBLICA
38,22/04/2022,13802202200194,SUBJETIVO
39,14/04/2022,09802202200442,SUBJETIVO
40,11/02/2022,02331202200123,EJECUCIÓN DE ACTA DE TRANSACCIÓN
41,07/02/2022,23281202201056G,ARCHIVO DE LA INVESTIGACIÓN PREVIA ART. 586
42,04/02/2022,09802202200154,SUBJETIVO
43,11/01/2022,02331202200019,DOCUMENTOS ART. 356 NUM.1
44,20/12/2021,08282202112783,"389 CONTRAVENCIONES DE TRÁNSITO DE CUARTA CLASE, INC.1, NUM. 1"
